customer_id,name,phone,address
83,Claudia Brady,(026) 77509334,Ap #721-8626 Purus Av.
84,Amy Bryan,(033514) 974624,955-9514 Ut St.
85,Addison Joseph,(035217) 811567,Ap #434-5118 Lacus Road
86,Amal Livingston,(039) 14115463,Ap #448-3238 Sem. St.
87,Len Dyer,(034567) 628716,515-5911 Fringilla Rd.
88,Xyla Kane,(050) 94871491,"7945 Nec, St."
89,Chase Chambers,(00983) 3371301,273-6502 Ridiculus St.
90,Gary Whitaker,(026) 47347573,6076 Odio St.
91,Chaney Hunter,(035527) 678341,"P.O. Box 271, 7389 Ac Rd."
92,Quinlan Arnold,(0227) 48556884,169-4866 Commodo Avenue
93,Shannon Pearson,(03553) 9431848,674-911 Tincidunt Rd.
94,Eleanor Holder,(067) 76717116,9314 Gravida Road
95,Macon Harding,(038636) 747103,Ap #961-1738 Egestas Road
96,Gillian Holt,(0836) 53542275,Ap #307-3608 Arcu Rd.
97,Nichole Mack,(038301) 322138,Ap #269-4714 Lobortis Ave
98,Owen Cooke,(0364) 02838531,"P.O. Box 587, 4047 Sit St."
99,Stephen Shepard,(030530) 355586,Ap #649-9261 Feugiat Av.
100,Ira Owen,(02612) 5446158,Ap #752-8228 Lacus. Avenue
101,Mallory Love,(015) 41444923,168-2091 Libero. St.
102,Daniel Giles,(0878) 51654843,590-112 Justo. Street
103,Aladdin O'donnell,(079) 61186751,"Ap #586-3935 A, Road"
104,Gavin Holloway,(0191) 41684359,Ap #158-1508 Nunc. Rd.
105,Paul Boone,(093) 16209846,136-3517 Blandit Ave
106,Dennis Williamson,(04670) 4343785,565-9108 Sit Ave
107,Ahmed Wyatt,(0737) 42573974,6119 Tellus. Road
108,Kermit Willis,(0530) 14942567,"674-3953 Augue, St."
109,Raya Ross,(033513) 085371,4283 Arcu Av.
110,Dacey Michael,(036281) 225962,Ap #279-6253 Lorem St.
111,Micah Eaton,(08913) 2832892,Ap #384-1509 Integer St.
112,Ruby Figueroa,(02972) 8402419,"491-9600 Pellentesque, Rd."
113,Bert Carr,(037916) 453857,"P.O. Box 236, 9762 Lacus. Av."
114,Simone Osborn,(053) 83718738,128-8159 Faucibus Av.
115,Kelly Dejesus,(0875) 51616571,Ap #699-192 Dolor Rd.
116,Quemby Ferguson,(01262) 8640743,924-8021 Natoque Rd.
117,Winter Lopez,(0302) 42415973,Ap #545-3253 A Road
118,Cairo Cruz,(038) 15841765,Ap #710-6804 Praesent St.
119,Amelia Vance,(023) 66415858,847-7785 Lobortis. St.
120,Lester Gibson,(064) 16589721,Ap #281-6948 Malesuada Ave
121,Lysandra Bell,(0790) 31343663,647-3189 Senectus Street
122,Wendy Hayden,(06167) 4856747,Ap #284-1834 Tempus Street
123,Aretha Sawyer,(032) 01734028,"P.O. Box 271, 9977 Id Ave"
124,Shannon Mcfarland,(026) 47055147,"4268 Nec, Av."
